time,open,high,low,close
345479400,0.128348,0.128348,0.128348,0.128348
345738600,0.121652,0.121652,0.121652,0.121652
345825000,0.112723,0.112723,0.112723,0.112723
345911400,0.115513,0.115513,0.115513,0.115513
345997800,0.118861,0.118861,0.118861,0.118861
346084200,0.126116,0.126116,0.126116,0.126116
346343400,0.132254,0.132254,0.132254,0.132254
346429800,0.137835,0.137835,0.137835,0.137835
346516200,0.145089,0.145089,0.145089,0.145089
346689000,0.158482,0.158482,0.158482,0.158482
346948200,0.160714,0.160714,0.160714,0.160714
347034600,0.156808,0.156808,0.156808,0.156808
347121000,0.152344,0.152344,0.152344,0.152344
347293800,0.154018,0.154018,0.154018,0.154018
347553000,0.150669,0.150669,0.150669,0.150669
347639400,0.143973,0.143973,0.143973,0.143973
347725800,0.137835,0.137835,0.137835,0.137835
347812200,0.135045,0.135045,0.135045,0.135045
347898600,0.142299,0.142299,0.142299,0.142299
348157800,0.141183,0.141183,0.141183,0.141183
348244200,0.136161,0.136161,0.136161,0.136161
348330600,0.136719,0.136719,0.136719,0.136719
348417000,0.139509,0.139509,0.139509,0.139509
348503400,0.138393,0.138393,0.138393,0.138393
348762600,0.146763,0.146763,0.146763,0.146763
348849000,0.142299,0.142299,0.142299,0.142299
348935400,0.145089,0.145089,0.145089,0.145089
349021800,0.146763,0.146763,0.146763,0.146763
349108200,0.146205,0.146205,0.146205,0.146205
349367400,0.143973,0.143973,0.143973,0.143973
349453800,0.142857,0.142857,0.142857,0.142857
349540200,0.138393,0.138393,0.138393,0.138393
349626600,0.13337,0.13337,0.13337,0.13337
349713000,0.126116,0.126116,0.126116,0.126116
349972200,0.118861,0.118861,0.118861,0.118861
350058600,0.123326,0.123326,0.123326,0.123326
350145000,0.12779,0.12779,0.12779,0.12779
350231400,0.12779,0.12779,0.12779,0.12779
350317800,0.128348,0.128348,0.128348,0.128348
350577000,0.121652,0.121652,0.121652,0.121652
350663400,0.121652,0.121652,0.121652,0.121652
350749800,0.117745,0.117745,0.117745,0.117745
350836200,0.116629,0.116629,0.116629,0.116629
350922600,0.113839,0.113839,0.113839,0.113839
351268200,0.116629,0.116629,0.116629,0.116629
351354600,0.121652,0.121652,0.121652,0.121652
351441000,0.114397,0.114397,0.114397,0.114397
351527400,0.108259,0.108259,0.108259,0.108259
351786600,0.109933,0.109933,0.109933,0.109933
351873000,0.106027,0.106027,0.106027,0.106027
351959400,0.112723,0.112723,0.112723,0.112723
352045800,0.114397,0.114397,0.114397,0.114397
352132200,0.118303,0.118303,0.118303,0.118303
352391400,0.118861,0.118861,0.118861,0.118861
352477800,0.117187,0.117187,0.117187,0.117187
352564200,0.116071,0.116071,0.116071,0.116071
352650600,0.115513,0.115513,0.115513,0.115513
352737000,0.114397,0.114397,0.114397,0.114397
352996200,0.105469,0.105469,0.105469,0.105469
353082600,0.100446,0.100446,0.100446,0.100446
353169000,0.09654,0.09654,0.09654,0.09654
353255400,0.100446,0.100446,0.100446,0.100446
353341800,0.09933,0.09933,0.09933,0.09933
353601000,0.103237,0.103237,0.103237,0.103237
353687400,0.108259,0.108259,0.108259,0.108259
353773800,0.114955,0.114955,0.114955,0.114955
353860200,0.113839,0.113839,0.113839,0.113839
353946600,0.114955,0.114955,0.114955,0.114955
354205800,0.11942,0.11942,0.11942,0.11942
354292200,0.118861,0.118861,0.118861,0.118861
354378600,0.116629,0.116629,0.116629,0.116629
354465000,0.114397,0.114397,0.114397,0.114397
354551400,0.110491,0.110491,0.110491,0.110491
354810600,0.110491,0.110491,0.110491,0.110491
354897000,0.109375,0.109375,0.109375,0.109375
354983400,0.108259,0.108259,0.108259,0.108259
355069800,0.117745,0.117745,0.117745,0.117745
355156200,0.118303,0.118303,0.118303,0.118303
355415400,0.116071,0.116071,0.116071,0.116071
355501800,0.114955,0.114955,0.114955,0.114955
355588200,0.120536,0.120536,0.120536,0.120536
355674600,0.122768,0.122768,0.122768,0.122768
355761000,0.124442,0.124442,0.124442,0.124442
356020200,0.124442,0.124442,0.124442,0.124442
356106600,0.124442,0.124442,0.124442,0.124442
356193000,0.118303,0.118303,0.118303,0.118303
356279400,0.111607,0.111607,0.111607,0.111607
356625000,0.114955,0.114955,0.114955,0.114955
356711400,0.122768,0.122768,0.122768,0.122768
356797800,0.127232,0.127232,0.127232,0.127232
356884200,0.13058,0.13058,0.13058,0.13058
356970600,0.129464,0.129464,0.129464,0.129464
357226200,0.128348,0.128348,0.128348,0.128348
357312600,0.126116,0.126116,0.126116,0.126116
357399000,0.124442,0.124442,0.124442,0.124442
357485400,0.126674,0.126674,0.126674,0.126674
357571800,0.126674,0.126674,0.126674,0.126674
357831000,0.126116,0.126116,0.126116,0.126116
357917400,0.125558,0.125558,0.125558,0.125558
358003800,0.12221,0.12221,0.12221,0.12221
358090200,0.123884,0.123884,0.123884,0.123884
358176600,0.125,0.125,0.125,0.125
358435800,0.12221,0.12221,0.12221,0.12221
358522200,0.12221,0.12221,0.12221,0.12221
358608600,0.121652,0.121652,0.121652,0.121652
358695000,0.119978,0.119978,0.119978,0.119978
358781400,0.122768,0.122768,0.122768,0.122768
359040600,0.125,0.125,0.125,0.125
359127000,0.122768,0.122768,0.122768,0.122768
359213400,0.126674,0.126674,0.126674,0.126674
359299800,0.133928,0.133928,0.133928,0.133928
359386200,0.140067,0.140067,0.140067,0.140067
359731800,0.139509,0.139509,0.139509,0.139509
359818200,0.147321,0.147321,0.147321,0.147321
359904600,0.147321,0.147321,0.147321,0.147321
359991000,0.147879,0.147879,0.147879,0.147879
360250200,0.147879,0.147879,0.147879,0.147879
360336600,0.140625,0.140625,0.140625,0.140625
360423000,0.140625,0.140625,0.140625,0.140625
360509400,0.143415,0.143415,0.143415,0.143415
360595800,0.141183,0.141183,0.141183,0.141183
360855000,0.136161,0.136161,0.136161,0.136161
360941400,0.138951,0.138951,0.138951,0.138951
361027800,0.140625,0.140625,0.140625,0.140625
361114200,0.146763,0.146763,0.146763,0.146763
361200600,0.145089,0.145089,0.145089,0.145089
361459800,0.144531,0.144531,0.144531,0.144531
361546200,0.141741,0.141741,0.141741,0.141741
361632600,0.139509,0.139509,0.139509,0.139509
361719000,0.138951,0.138951,0.138951,0.138951
361805400,0.135045,0.135045,0.135045,0.135045
362064600,0.130022,0.130022,0.130022,0.130022
362151000,0.132254,0.132254,0.132254,0.132254
362237400,0.128906,0.128906,0.128906,0.128906
362323800,0.131696,0.131696,0.131696,0.131696
362410200,0.130022,0.130022,0.130022,0.130022
362669400,0.125558,0.125558,0.125558,0.125558
362755800,0.116071,0.116071,0.116071,0.116071
362842200,0.114955,0.114955,0.114955,0.114955
362928600,0.114955,0.114955,0.114955,0.114955
363274200,0.111049,0.111049,0.111049,0.111049
363360600,0.112165,0.112165,0.112165,0.112165
363447000,0.116629,0.116629,0.116629,0.116629
363533400,0.107701,0.107701,0.107701,0.107701
363619800,0.09933,0.09933,0.09933,0.09933
363879000,0.101562,0.101562,0.101562,0.101562
363965400,0.106027,0.106027,0.106027,0.106027
364051800,0.108817,0.108817,0.108817,0.108817
364138200,0.111607,0.111607,0.111607,0.111607
364224600,0.115513,0.115513,0.115513,0.115513
364483800,0.107701,0.107701,0.107701,0.107701
364570200,0.107143,0.107143,0.107143,0.107143
364656600,0.101004,0.101004,0.101004,0.101004
364743000,0.103795,0.103795,0.103795,0.103795
364829400,0.107143,0.107143,0.107143,0.107143
365088600,0.111607,0.111607,0.111607,0.111607
365175000,0.107701,0.107701,0.107701,0.107701
365261400,0.106027,0.106027,0.106027,0.106027
365347800,0.109933,0.109933,0.109933,0.109933
365434200,0.111607,0.111607,0.111607,0.111607
365693400,0.110491,0.110491,0.110491,0.110491
365779800,0.112165,0.112165,0.112165,0.112165
365866200,0.115513,0.115513,0.115513,0.115513
365952600,0.112723,0.112723,0.112723,0.112723
366039000,0.112723,0.112723,0.112723,0.112723
366384600,0.109375,0.109375,0.109375,0.109375
366471000,0.107143,0.107143,0.107143,0.107143
366557400,0.103795,0.103795,0.103795,0.103795
366643800,0.10212,0.10212,0.10212,0.10212
366903000,0.098772,0.098772,0.098772,0.098772
366989400,0.09654,0.09654,0.09654,0.09654
367075800,0.095424,0.095424,0.095424,0.095424
367162200,0.09654,0.09654,0.09654,0.09654
367248600,0.089844,0.089844,0.089844,0.089844
367507800,0.084263,0.084263,0.084263,0.084263
367594200,0.086495,0.086495,0.086495,0.086495
367680600,0.084821,0.084821,0.084821,0.084821
367767000,0.085379,0.085379,0.085379,0.085379
367853400,0.089844,0.089844,0.089844,0.089844
368112600,0.089844,0.089844,0.089844,0.089844
368199000,0.095424,0.095424,0.095424,0.095424
368285400,0.097098,0.097098,0.097098,0.097098
368371800,0.092076,0.092076,0.092076,0.092076
368458200,0.09096,0.09096,0.09096,0.09096
368803800,0.08817,0.08817,0.08817,0.08817
368890200,0.08817,0.08817,0.08817,0.08817
368976600,0.088728,0.088728,0.088728,0.088728
369063000,0.087612,0.087612,0.087612,0.087612
369322200,0.084821,0.084821,0.084821,0.084821
369408600,0.082589,0.082589,0.082589,0.082589
369495000,0.080915,0.080915,0.080915,0.080915
369581400,0.078683,0.078683,0.078683,0.078683
369667800,0.079241,0.079241,0.079241,0.079241
369927000,0.079799,0.079799,0.079799,0.079799
370013400,0.075335,0.075335,0.075335,0.075335
370099800,0.073661,0.073661,0.073661,0.073661
370186200,0.073103,0.073103,0.073103,0.073103
370272600,0.063616,0.063616,0.063616,0.063616
370531800,0.064174,0.064174,0.064174,0.064174
370618200,0.067522,0.067522,0.067522,0.067522
370704600,0.06808,0.06808,0.06808,0.06808
370791000,0.06808,0.06808,0.06808,0.06808
370877400,0.073661,0.073661,0.073661,0.073661
371136600,0.075893,0.075893,0.075893,0.075893
371223000,0.075335,0.075335,0.075335,0.075335
371309400,0.079799,0.079799,0.079799,0.079799
371395800,0.082589,0.082589,0.082589,0.082589
371482200,0.083147,0.083147,0.083147,0.083147
371741400,0.085937,0.085937,0.085937,0.085937
371827800,0.085937,0.085937,0.085937,0.085937
371914200,0.080915,0.080915,0.080915,0.080915
372000600,0.082589,0.082589,0.082589,0.082589
372087000,0.081473,0.081473,0.081473,0.081473
372346200,0.083147,0.083147,0.083147,0.083147
372432600,0.087612,0.087612,0.087612,0.087612
372519000,0.087612,0.087612,0.087612,0.087612
372605400,0.087053,0.087053,0.087053,0.087053
372691800,0.084821,0.084821,0.084821,0.084821
372954600,0.084821,0.084821,0.084821,0.084821
373041000,0.086495,0.086495,0.086495,0.086495
373127400,0.089286,0.089286,0.089286,0.089286
373213800,0.08817,0.08817,0.08817,0.08817
373300200,0.089286,0.089286,0.089286,0.089286
373559400,0.089286,0.089286,0.089286,0.089286
373645800,0.08817,0.08817,0.08817,0.08817
373732200,0.085937,0.085937,0.085937,0.085937
373818600,0.079799,0.079799,0.079799,0.079799
373905000,0.080357,0.080357,0.080357,0.080357
374164200,0.081473,0.081473,0.081473,0.081473
374250600,0.082031,0.082031,0.082031,0.082031
374337000,0.084263,0.084263,0.084263,0.084263
374423400,0.087053,0.087053,0.087053,0.087053
374509800,0.080915,0.080915,0.080915,0.080915
374769000,0.079799,0.079799,0.079799,0.079799
374855400,0.081473,0.081473,0.081473,0.081473
374941800,0.084263,0.084263,0.084263,0.084263
375028200,0.084263,0.084263,0.084263,0.084263
375114600,0.084821,0.084821,0.084821,0.084821
375373800,0.080915,0.080915,0.080915,0.080915
375460200,0.080357,0.080357,0.080357,0.080357
375546600,0.082031,0.082031,0.082031,0.082031
375719400,0.084263,0.084263,0.084263,0.084263
375978600,0.083147,0.083147,0.083147,0.083147
376065000,0.083147,0.083147,0.083147,0.083147
376151400,0.083705,0.083705,0.083705,0.083705
376237800,0.082589,0.082589,0.082589,0.082589
376324200,0.084821,0.084821,0.084821,0.084821
376583400,0.085379,0.085379,0.085379,0.085379
376669800,0.083705,0.083705,0.083705,0.083705
376756200,0.084263,0.084263,0.084263,0.084263
376842600,0.084263,0.084263,0.084263,0.084263
376929000,0.083705,0.083705,0.083705,0.083705
377188200,0.080915,0.080915,0.080915,0.080915
377274600,0.083147,0.083147,0.083147,0.083147
377361000,0.087053,0.087053,0.087053,0.087053
377447400,0.094308,0.094308,0.094308,0.094308
377533800,0.10212,0.10212,0.10212,0.10212
377793000,0.097656,0.097656,0.097656,0.097656
377879400,0.09933,0.09933,0.09933,0.09933
377965800,0.097098,0.097098,0.097098,0.097098
378052200,0.097656,0.097656,0.097656,0.097656
378397800,0.093192,0.093192,0.093192,0.093192
378484200,0.094866,0.094866,0.094866,0.094866
378570600,0.098772,0.098772,0.098772,0.098772
378657000,0.098772,0.098772,0.098772,0.098772
379002600,0.098214,0.098214,0.098214,0.098214
379089000,0.093192,0.093192,0.093192,0.093192
379175400,0.092076,0.092076,0.092076,0.092076
379261800,0.084821,0.084821,0.084821,0.084821
379348200,0.088728,0.088728,0.088728,0.088728
379607400,0.083147,0.083147,0.083147,0.083147
379693800,0.080357,0.080357,0.080357,0.080357
379780200,0.079799,0.079799,0.079799,0.079799
379866600,0.083705,0.083705,0.083705,0.083705
379953000,0.089286,0.089286,0.089286,0.089286
380212200,0.09096,0.09096,0.09096,0.09096
380298600,0.088728,0.088728,0.088728,0.088728
380385000,0.090402,0.090402,0.090402,0.090402
380471400,0.092076,0.092076,0.092076,0.092076
380557800,0.092634,0.092634,0.092634,0.092634
380817000,0.089844,0.089844,0.089844,0.089844
380903400,0.086495,0.086495,0.086495,0.086495
380989800,0.087053,0.087053,0.087053,0.087053
381076200,0.089844,0.089844,0.089844,0.089844
381162600,0.09096,0.09096,0.09096,0.09096
381421800,0.089844,0.089844,0.089844,0.089844
381508200,0.090402,0.090402,0.090402,0.090402
381594600,0.090402,0.090402,0.090402,0.090402
381681000,0.08817,0.08817,0.08817,0.08817
381767400,0.08817,0.08817,0.08817,0.08817
382026600,0.082589,0.082589,0.082589,0.082589
382113000,0.082589,0.082589,0.082589,0.082589
382199400,0.083705,0.083705,0.083705,0.083705
382285800,0.082589,0.082589,0.082589,0.082589
382372200,0.083705,0.083705,0.083705,0.083705
382717800,0.082031,0.082031,0.082031,0.082031
382804200,0.083147,0.083147,0.083147,0.083147
382890600,0.084263,0.084263,0.084263,0.084263
382977000,0.083705,0.083705,0.083705,0.083705
383236200,0.082589,0.082589,0.082589,0.082589
383322600,0.081473,0.081473,0.081473,0.081473
383409000,0.082031,0.082031,0.082031,0.082031
383495400,0.081473,0.081473,0.081473,0.081473
383581800,0.081473,0.081473,0.081473,0.081473
383841000,0.082031,0.082031,0.082031,0.082031
383927400,0.082031,0.082031,0.082031,0.082031
384013800,0.082031,0.082031,0.082031,0.082031
384100200,0.080357,0.080357,0.080357,0.080357
384186600,0.074219,0.074219,0.074219,0.074219
384445800,0.073103,0.073103,0.073103,0.073103
384532200,0.073661,0.073661,0.073661,0.073661
384618600,0.072545,0.072545,0.072545,0.072545
384705000,0.072545,0.072545,0.072545,0.072545
384791400,0.06808,0.06808,0.06808,0.06808
385050600,0.067522,0.067522,0.067522,0.067522
385137000,0.066406,0.066406,0.066406,0.066406
385223400,0.063058,0.063058,0.063058,0.063058
385309800,0.06808,0.06808,0.06808,0.06808
385396200,0.074219,0.074219,0.074219,0.074219
385655400,0.079799,0.079799,0.079799,0.079799
385741800,0.078683,0.078683,0.078683,0.078683
385828200,0.074219,0.074219,0.074219,0.074219
385914600,0.073661,0.073661,0.073661,0.073661
386001000,0.072545,0.072545,0.072545,0.072545
386260200,0.074219,0.074219,0.074219,0.074219
386346600,0.075335,0.075335,0.075335,0.075335
386433000,0.075335,0.075335,0.075335,0.075335
386519400,0.079241,0.079241,0.079241,0.079241
386605800,0.079241,0.079241,0.079241,0.079241
386865000,0.079241,0.079241,0.079241,0.079241
386951400,0.078683,0.078683,0.078683,0.078683
387037800,0.077567,0.077567,0.077567,0.077567
387124200,0.078125,0.078125,0.078125,0.078125
387469800,0.077567,0.077567,0.077567,0.077567
387556200,0.071429,0.071429,0.071429,0.071429
387642600,0.071987,0.071987,0.071987,0.071987
387729000,0.073103,0.073103,0.073103,0.073103
387815400,0.075335,0.075335,0.075335,0.075335
388074600,0.073661,0.073661,0.073661,0.073661
388161000,0.070312,0.070312,0.070312,0.070312
388247400,0.069754,0.069754,0.069754,0.069754
388333800,0.068638,0.068638,0.068638,0.068638
388420200,0.068638,0.068638,0.068638,0.068638
388675800,0.070312,0.070312,0.070312,0.070312
388762200,0.06808,0.06808,0.06808,0.06808
388848600,0.06529,0.06529,0.06529,0.06529
388935000,0.06529,0.06529,0.06529,0.06529
389021400,0.065848,0.065848,0.065848,0.065848
389280600,0.06808,0.06808,0.06808,0.06808
389367000,0.070312,0.070312,0.070312,0.070312
389453400,0.069196,0.069196,0.069196,0.069196
389539800,0.071429,0.071429,0.071429,0.071429
389626200,0.072545,0.072545,0.072545,0.072545
389885400,0.071429,0.071429,0.071429,0.071429
389971800,0.069196,0.069196,0.069196,0.069196
390058200,0.067522,0.067522,0.067522,0.067522
390144600,0.06808,0.06808,0.06808,0.06808
390231000,0.06529,0.06529,0.06529,0.06529
390490200,0.064174,0.064174,0.064174,0.064174
390576600,0.063058,0.063058,0.063058,0.063058
390663000,0.0625,0.0625,0.0625,0.0625
390749400,0.063058,0.063058,0.063058,0.063058
390835800,0.063616,0.063616,0.063616,0.063616
391095000,0.064174,0.064174,0.064174,0.064174
391181400,0.064174,0.064174,0.064174,0.064174
391267800,0.063616,0.063616,0.063616,0.063616
391354200,0.0625,0.0625,0.0625,0.0625
391440600,0.0625,0.0625,0.0625,0.0625
