time,open,high,low,close
1092922200,2.502675,2.604023,2.401327,2.510808
1093008600,2.539461,2.729645,2.514937,2.710377
1093267800,2.773688,2.839752,2.728894,2.737653
1093354200,2.785199,2.792707,2.591762,2.624293
1093440600,2.626546,2.702619,2.599519,2.65257
1093527000,2.630299,2.701368,2.619038,2.700367
1093613400,2.705372,2.718134,2.644813,2.656324
1093872600,2.639808,2.639808,2.552723,2.552723
1093959000,2.560482,2.595265,2.556477,2.561732
1094045400,2.56999,2.576747,2.494167,2.508681
1094131800,2.479653,2.561732,2.475899,2.540211
1094218200,2.526198,2.545967,2.485409,2.502675
1094563800,2.527699,2.552473,2.492666,2.541963
1094650200,2.520943,2.578248,2.514937,2.559981
1094736600,2.564986,2.570241,2.527449,2.560231
1094823000,2.542464,2.666584,2.534957,2.635804
1095082200,2.674592,2.712879,2.664082,2.690107
1095168600,2.694611,2.802716,2.672339,2.789954
1095255000,2.766681,2.85852,2.757672,2.802716
1095341400,2.811224,2.897808,2.793957,2.852014
1095427800,2.863275,2.940099,2.841504,2.940099
1095687000,2.926586,3.042949,2.922082,2.986894
1095773400,3.007915,3.01342,2.940599,2.948858
1095859800,2.939098,2.994652,2.923083,2.962371
1095946200,2.973882,3.068724,2.928338,3.02343
1096032600,3.027184,3.10551,2.996904,2.998656
1096291800,2.991899,3.024931,2.947857,2.959368
1096378200,3.029185,3.188089,3.008165,3.174576
1096464600,3.166318,3.378774,3.158811,3.280179
1096551000,3.258658,3.310708,3.228128,3.243143
1096637400,3.269168,3.359256,3.225626,3.317715
1096896600,3.398794,3.425069,3.354,3.379775
1096983000,3.369766,3.466609,3.309207,3.462605
1097069400,3.445088,3.464607,3.403298,3.430324
1097155800,3.417312,3.500392,3.417061,3.474617
1097242200,3.471614,3.495387,3.428823,3.44659
1097501400,3.428572,3.474867,3.349496,3.38478
1097587800,3.365512,3.443587,3.338235,3.438332
1097674200,3.586476,3.592231,3.505397,3.525917
1097760600,3.52892,3.562953,3.46736,3.553443
1097847000,3.627265,3.641028,3.552192,3.606245
1098106200,3.583473,3.733618,3.533675,3.732617
1098192600,3.76615,3.813695,3.687323,3.702088
1098279000,3.702088,3.728363,3.493386,3.515657
1098365400,3.602992,3.756891,3.543934,3.738122
1098451800,4.262131,4.508619,4.105979,4.314931
1098711000,4.411275,4.865465,4.317934,4.689544
1098797400,4.665747,4.820672,4.504365,4.549409
1098883800,4.56167,4.742596,4.548658,4.65376
1098970200,4.670276,4.864464,4.644501,4.837188
1099056600,4.96381,5.003599,4.769622,4.770623
1099319400,4.842192,4.946543,4.786388,4.905504
1099405800,4.971318,4.986082,4.838188,4.876476
1099492200,4.959556,5.044889,4.773376,4.796398
1099578600,4.710815,4.764617,4.588196,4.621979
1099665000,4.554414,4.561921,4.217837,4.237857
1099924200,4.277395,4.390254,4.239108,4.317934
1100010600,4.356722,4.384249,4.135758,4.221591
1100097000,4.270889,4.317184,4.162284,4.200571
1100183400,4.232351,4.598206,4.193314,4.579938
1100269800,4.635242,4.749603,4.439302,4.554414
1100529000,4.510621,4.712567,4.473085,4.626233
1100615400,4.441804,4.491102,4.274893,4.317809
1100701800,4.2306,4.441804,4.229098,4.316683
1100788200,4.254122,4.36473,4.147269,4.192563
1100874600,4.231601,4.253622,4.167038,4.239108
1101133800,4.220215,4.24161,4.036662,4.131504
1101220200,4.201947,4.274893,4.166538,4.192062
1101306600,4.37524,4.434548,4.316933,4.373238
1101479400,4.399263,4.505116,4.387252,4.4891
1101738600,4.513374,4.578187,4.442054,4.53064
1101825000,4.522132,4.579438,4.510621,4.553913
1101911400,4.556916,4.566926,4.493104,4.503364
1101997800,4.501862,4.542151,4.46808,4.48935
1102084200,4.504365,4.530891,4.444307,4.514374
1102343400,4.482594,4.521882,4.404768,4.411525
1102429800,4.404268,4.409273,4.267886,4.289907
1102516200,4.268387,4.346211,4.222342,4.253622
1102602600,4.260379,4.341707,4.215835,4.339955
1102689000,4.339955,4.376241,4.286404,4.295412
1102948200,4.308425,4.333699,4.240359,4.265383
1103034600,4.279147,4.474837,4.244113,4.471583
1103121000,4.454067,4.521632,4.420784,4.49886
1103207400,4.424788,4.516627,4.403017,4.416029
1103293800,4.429292,4.516877,4.418031,4.506367
1103553000,4.552662,4.71607,4.55116,4.629987
1103639400,4.658765,4.701556,4.589447,4.598206
1103725800,4.601959,4.675781,4.579688,4.662018
1103812200,4.690796,4.719574,4.65451,4.702056
1104157800,4.733337,4.837188,4.732086,4.802404
1104244200,4.807409,4.843444,4.779882,4.823674
1104330600,4.799151,4.842693,4.799151,4.827178
1104417000,4.82893,4.960557,4.800903,4.944792
1104503400,4.985581,5.001847,4.81867,4.824425
1104762600,4.939787,5.095938,4.89124,5.072666
1104849000,5.038132,5.078171,4.841692,4.867217
1104935400,4.840941,4.927275,4.810412,4.842442
1105021800,4.885985,4.90225,4.697552,4.718322
1105108200,4.770623,4.860961,4.724078,4.850951
1105367400,4.867217,4.957304,4.800402,4.88123
1105453800,4.889238,4.947545,4.834184,4.843193
1105540200,4.862963,4.903001,4.76712,4.889238
1105626600,4.889238,4.939537,4.855956,4.887987
1105713000,4.904753,5.0051,4.857958,5.004099
1106058600,5.027122,5.130472,4.971318,5.102444
1106145000,5.120963,5.137479,4.92252,4.937285
1106231400,4.817168,4.911009,4.804656,4.852703
1106317800,4.868217,4.888737,4.707562,4.711566
1106577000,4.721826,4.737841,4.512373,4.522382
1106663400,4.559418,4.56042,4.411525,4.432295
1106749800,4.486097,4.739843,4.483094,4.735589
1106836200,4.719323,4.72608,4.634491,4.706561
1106922600,4.755108,4.872221,4.663019,4.763116
1107181800,4.851451,4.913762,4.797649,4.895244
1107268200,4.864214,4.921269,4.770373,4.802153
1107354600,5.396229,5.425257,5.096439,5.153995
1107441000,5.151492,5.339424,5.150241,5.276613
1107527400,5.166757,5.198788,5.069913,5.113956
1107786600,5.136477,5.165005,4.892491,4.905504
1107873000,4.928777,5.00535,4.867967,4.970817
1107959400,5.023868,5.044889,4.741095,4.794146
1108045800,4.803905,4.809911,4.635742,4.704059
1108132200,4.671027,4.812664,4.656262,4.689544
1108391400,4.576685,4.831682,4.529389,4.82943
1108477800,4.84482,5.000846,4.831682,4.885484
1108564200,4.872221,4.988084,4.862212,4.965061
1108650600,4.96356,4.998594,4.925023,4.952299
1108737000,4.961558,4.975822,4.921269,4.95355
1109082600,4.921519,4.977323,4.764367,4.788891
1109169000,4.837188,4.866716,4.721075,4.853453
1109255400,4.574433,4.750854,4.560169,4.726831
1109341800,4.739092,4.752606,4.642248,4.651257
1109601000,4.65451,4.751354,4.650757,4.704309
1109687400,4.73684,4.748351,4.639246,4.656012
1109773800,4.653259,4.696301,4.613471,4.63399
1109860200,4.657764,4.698303,4.61222,4.67966
1109946600,4.672027,4.685791,4.631238,4.652008
1110205800,4.692547,4.744598,4.680285,4.724829
1110292200,4.732086,4.750854,4.628736,4.634491
1110378600,4.609717,4.620728,4.508369,4.538148
1110465000,4.529639,4.534394,4.439302,4.503865
1110551400,4.515376,4.528138,4.433046,4.449312
1110810600,4.462575,4.464326,4.318435,4.378994
1110897000,4.386751,4.504365,4.359475,4.469581
1110983400,4.421785,4.469581,4.379494,4.394259
1111069800,4.432545,4.495356,4.399263,4.486598
1111156200,4.474586,4.514374,4.462074,4.505366
1111415400,4.488099,4.558668,4.435548,4.526386
1111501800,4.533893,4.552912,4.450563,4.469331
1111588200,4.453566,4.510371,4.453566,4.47884
1111674600,4.521882,4.525886,4.484346,4.485597
1112020200,4.546405,4.624481,4.528138,4.539899
1112106600,4.53064,4.586445,4.456068,4.493605
1112193000,4.520381,4.54065,4.494356,4.515626
1112279400,4.453065,4.539149,4.445308,4.517127
1112365800,4.540901,4.578187,4.504115,4.505366
1112621400,4.503114,4.637494,4.500361,4.636743
1112707800,4.701806,4.761114,4.693799,4.718823
1112794200,4.721826,4.745849,4.694049,4.735089
1112880600,4.724078,4.87022,4.720575,4.848698
1112967000,4.846947,4.882231,4.790893,4.805907
1113226200,4.831932,4.874724,4.812664,4.835436
1113312600,4.82968,4.865215,4.739843,4.853578
1113399000,4.841442,4.862713,4.747851,4.827928
1113485400,4.82968,4.863713,4.75711,4.790893
1113571800,4.75711,4.763116,4.620978,4.629486
1113831000,4.628486,4.701556,4.5917,4.678784
1113917400,4.737841,4.804656,4.70531,4.789641
1114003800,4.969316,5.017362,4.902501,4.957304
1114090200,5.01536,5.129971,4.987834,5.110452
1114176600,5.567896,5.605432,5.361696,5.400483
1114435800,5.447779,5.62395,5.443275,5.593671
1114522200,5.51084,5.555384,5.462543,5.474055
1114608600,5.455037,5.526606,5.423756,5.49983
1114695000,5.494324,5.557385,5.44803,5.491572
1114781400,5.559638,5.56164,5.450782,5.505335
1115040600,5.556635,5.597925,5.51059,5.56264
1115127000,5.55163,5.709282,5.538367,5.660235
1115213400,5.68626,5.752575,5.680479,5.718041
1115299800,5.721044,5.721044,5.652478,5.680004
1115386200,5.715538,5.736809,5.667242,5.706029
1115645400,5.705529,5.718041,5.641216,5.655981
1115731800,5.636712,5.700524,5.623449,5.700524
1115818200,5.729803,5.805126,5.703777,5.787859
1115904600,5.773345,5.811382,5.710534,5.723546
1115991000,5.735057,5.782854,5.688513,5.736559
1116250200,5.747569,5.796117,5.719793,5.781853
1116336600,5.76909,5.841911,5.760582,5.833903
1116423000,5.845915,6.005069,5.843663,5.9848
1116509400,6.014328,6.035098,5.962528,5.9853
1116595800,6.030344,6.04761,5.997061,6.046109
1116855000,6.086398,6.458761,6.073636,6.392445
1116941400,6.427481,6.642435,6.343647,6.406208
1117027800,6.324379,6.530828,6.271828,6.526576
1117114200,6.530327,6.600396,6.463765,6.486284
1117200600,6.517815,6.657703,6.487537,6.656451
1117546200,6.742282,6.966749,6.740785,6.938474
1117632600,7.083115,7.32935,7.057339,7.187715
1117719000,7.228257,7.251528,7.121904,7.204479
1117805400,7.176706,7.239517,6.941975,7.013297
1118064600,7.06585,7.350873,7.052586,7.280554
1118151000,7.444714,7.497017,7.264541,7.335111
1118237400,7.328354,7.336858,6.956742,6.995781
1118323800,7.124904,7.219496,7.020805,7.164695
1118410200,7.18196,7.188967,7.007291,7.069351
1118669400,7.002287,7.11164,6.919706,7.075607
1118755800,6.971508,7.03782,6.950485,6.965502
1118842200,6.881669,6.939226,6.692233,6.876665
1118928600,6.863151,6.96425,6.833374,6.942726
1119015000,6.981766,7.014299,6.904188,7.014299
1119274200,6.908947,7.198779,6.799839,7.174451
1119360600,7.208737,7.264541,7.13116,7.202982
1119447000,7.249273,7.315091,7.223748,7.239517
1119533400,7.20473,7.377401,7.169448,7.249774
1119619800,7.280804,7.457226,7.246524,7.438458
1119879000,7.482251,7.619133,7.353629,7.609877
1119965400,7.671436,7.738749,7.557323,7.557323
1120051800,7.574088,7.616878,7.310832,7.325098
1120138200,7.36564,7.480497,7.283059,7.360881
1120224600,7.384158,7.413184,7.237513,7.288313
1120570200,7.309586,7.406677,7.262788,7.39992
1120656600,7.439711,7.447219,7.291563,7.295192
1120743000,7.241765,7.402174,7.219747,7.395668
