time,open,high,low,close,Volume
2025-03-20 16:00:00,162.7900,173.9779,158.5155,168.6398,13960335
2025-03-20 17:00:00,162.7800,169.4819,160.9882,162.9000,14168
2025-03-20 18:00:00,162.9000,162.9800,162.6537,162.7800,9338
2025-03-20 19:00:00,162.7500,162.8000,162.6200,162.7900,25387
2025-03-21 04:00:00,162.7900,163.0800,162.0100,162.4200,18395
2025-03-21 05:00:00,162.4200,162.4300,161.5600,161.6700,21712
2025-03-21 06:00:00,161.6700,162.2000,161.6700,162.0400,11277
2025-03-21 07:00:00,162.0900,162.4200,162.0500,162.1500,23917
2025-03-21 08:00:00,162.8175,163.1088,161.1000,161.1200,206032
2025-03-21 09:00:00,161.1000,162.8000,159.7000,161.6541,8249610
2025-03-21 10:00:00,161.6700,163.2050,161.4800,163.2000,2517197
2025-03-21 11:00:00,163.1900,163.4100,162.0200,162.0700,2054721
2025-03-21 12:00:00,162.0500,163.5250,161.7300,163.4900,2075163
2025-03-21 13:00:00,163.4850,163.4850,162.5950,162.9420,1320975
2025-03-21 14:00:00,162.9450,163.2000,162.7300,162.8550,1463593
2025-03-21 15:00:00,162.8500,164.2400,162.5900,164.0200,5409091
2025-03-21 16:00:00,164.0200,164.3200,163.7200,164.1400,23022221
2025-03-21 17:00:00,164.1700,175.6372,161.8310,164.1600,37022
2025-03-21 18:00:00,164.1500,164.4100,164.1000,164.3003,23575
2025-03-21 19:00:00,164.3500,164.4000,163.9900,164.3100,23216
2025-03-24 04:00:00,166.2100,166.4500,164.9500,165.6800,104078
2025-03-24 05:00:00,165.6500,165.9600,165.4600,165.6800,24200
2025-03-24 06:00:00,165.6800,166.1800,165.5900,166.0200,22442
2025-03-24 07:00:00,166.0000,166.9400,165.8700,166.5800,58972
2025-03-24 08:00:00,166.5800,166.9760,163.9900,166.7900,130350
2025-03-24 09:00:00,166.7600,167.8499,163.9900,167.6150,4382588
2025-03-24 10:00:00,167.6100,167.8500,166.8600,167.2900,3320691
2025-03-24 11:00:00,167.2900,167.5000,166.6300,166.9900,2019688
2025-03-24 12:00:00,166.9900,167.2900,166.7300,167.0200,2891072
2025-03-24 13:00:00,167.0300,167.1898,166.7000,167.0800,1898192
2025-03-24 14:00:00,167.0700,167.4900,166.8900,167.4500,1558700
2025-03-24 15:00:00,167.4500,168.3200,167.3000,167.5100,5239820
2025-03-24 16:00:00,167.5100,171.4889,157.2630,167.5800,13898127
2025-03-24 17:00:00,167.6000,186.0270,156.9235,167.7100,23689
2025-03-24 18:00:00,167.7400,167.8000,164.0600,167.4200,19687
2025-03-24 19:00:00,167.3900,167.7000,167.1200,167.6800,15095
2025-03-25 04:00:00,167.7400,168.0000,167.1400,167.4700,19268
2025-03-25 05:00:00,167.4300,167.6800,167.1600,167.6700,6369
2025-03-25 06:00:00,167.6700,168.3000,167.5000,168.1500,13912
2025-03-25 07:00:00,168.0700,168.5900,168.0200,168.4100,40514
2025-03-25 08:00:00,168.1800,169.0000,167.1660,168.3500,106936
2025-03-25 09:00:00,168.3100,169.6250,168.2900,169.0200,3359439
2025-03-25 10:00:00,169.0100,170.3200,168.6400,170.1390,3601611
2025-03-25 11:00:00,170.1400,170.4600,169.4800,169.6550,2086908
2025-03-25 12:00:00,169.6500,169.9400,169.2400,169.7300,1963445
2025-03-25 13:00:00,169.7400,170.0100,169.3300,169.6900,1537960
2025-03-25 14:00:00,169.6900,170.0000,169.4600,169.8300,1635016
2025-03-25 15:00:00,169.8200,170.6300,169.7000,170.5600,4084281
2025-03-25 16:00:00,170.5600,171.1000,160.8052,170.9300,9272218
2025-03-25 17:00:00,170.9300,175.3436,164.4002,170.9000,16979
2025-03-25 18:00:00,170.9000,171.2500,170.5600,170.9300,26717
2025-03-25 19:00:00,170.9500,171.1200,170.8000,170.8900,14987
2025-03-26 04:00:00,171.2000,171.3000,170.5300,171.1300,22279
2025-03-26 05:00:00,171.1900,171.2100,170.8300,170.9200,13125
2025-03-26 06:00:00,170.8900,171.1400,168.5200,169.6800,82091
2025-03-26 07:00:00,169.6700,169.9200,169.4400,169.5500,45060
2025-03-26 08:00:00,169.6400,172.6200,164.5240,169.4600,124006
2025-03-26 09:00:00,169.4000,170.5600,167.5800,167.8000,3613897
2025-03-26 10:00:00,167.7900,168.6700,167.3700,168.1200,3111527
2025-03-26 11:00:00,168.1100,168.6400,167.4700,167.7050,2473723
2025-03-26 12:00:00,167.7100,168.0000,166.7500,166.7809,2405460
2025-03-26 13:00:00,166.7800,167.2700,165.9600,166.0981,2517307
2025-03-26 14:00:00,166.1000,166.5400,165.6650,165.6950,2183386
2025-03-26 15:00:00,165.6950,165.8500,164.8400,165.0500,5622653
2025-03-26 16:00:00,165.0500,169.3276,154.0918,165.4300,9904995
2025-03-26 17:00:00,165.4300,165.7900,164.9016,165.2700,37726
2025-03-26 18:00:00,165.0700,165.4500,164.5000,164.5100,23038
