pid,ud1,ud1_d,ud2,ud2_d,ud3,ud3_d,ud4,ud4_d,ud5,ud5_d,ud6,ud6_d,ud7,ud7_d
1,1,1.004849,1,1.1738869999999997,1,0.21595999999999993,0,-0.6676469999999997,1,0.38837600000000005,0,-0.4947290000000004,1,0.357596
2,0,-0.2652570000000001,1,0.807283,1,0.029778000000000304,0,-0.6701490000000003,1,0.8443180000000003,0,-0.5725540000000002,0,-0.16591100000000036
3,1,0.0015010000000001966,1,0.3433319999999993,0,-0.21921199999999974,1,0.9641849999999996,1,0.4524380000000008,1,1.1416059999999995,0,-0.17341599999999957
4,1,0.43542599999999965,0,-0.3082029999999998,1,0.5544380000000002,0,-0.6551340000000003,0,-0.34408300000000036,1,0.9426610000000002,1,0.056556000000000495
5,0,-0.07006900000000016,1,0.9183889999999995,1,0.9879569999999998,1,1.2322000000000006,0,-0.6276100000000007,1,0.28327600000000075,1,1.2712269999999997
6,1,0.005254000000000758,0,-1.692888,1,0.8308039999999988,0,-2.2591959999999993,1,1.2010419999999993,0,-1.2550919999999994,1,1.7587050000000009
7,1,0.6381180000000004,0,-1.1436069999999994,1,0.3503399999999992,0,-0.8675949999999997,0,-0.10284700000000058,1,1.330788,0,-0.8778459999999999
8,0,-0.4847230000000007,1,0.2657600000000002,1,0.9218899999999994,1,0.11561500000000002,1,1.53824,1,0.14566699999999955,0,-0.24151200000000017
9,1,0.9278950000000012,0,-1.3375450000000004,1,1.2211839999999992,0,-0.6493779999999987,1,0.5617929999999998,0,-1.081296,1,0.34558599999999906
10,0,-0.9304059999999996,1,0.4722109999999997,0,-0.41790400000000005,1,0.5302620000000005,1,0.511495,0,-0.6125940000000014,1,0.9986920000000001
11,1,1.3663999999999987,0,-1.063279999999999,0,-0.23798099999999955,1,0.5700529999999997,0,-0.8573310000000003,1,0.9078800000000005,0,-0.33332400000000106
12,1,2.369043999999999,1,3.147801000000001,0,-2.745660000000001,1,0.7126909999999995,0,-0.8683409999999991,1,2.2374160000000014,0,-1.048764000000002
13,0,-0.5893219999999992,0,-2.632550000000002,1,0.39237900000000003,0,-1.7234239999999996,1,0.8560789999999994,0,-2.903307999999999,1,1.303509
14,0,-0.40438999999999936,1,2.248926000000001,1,1.343055999999999,0,-1.2126739999999998,1,1.0430089999999996,0,-1.028499,0,-0.1158589999999986
15,0,-0.009012000000000242,0,-1.6175639999999998,1,1.0347489999999997,0,-2.4020779999999995,1,0.6366219999999991,0,-2.768186,1,1.0900580000000009
