pid,ud1,ud1_d,ud2,ud2_d,ud3,ud3_d,ud4,ud4_d,ud5,ud5_d,ud6,ud6_d,ud7,ud7_d
1,0,-0.5393330000000001,1,0.40733300000000017,0,-0.13133300000000014,1,0.13400000000000012,0,-0.2899990000000001,1,0.2919990000000001,0,-0.10133300000000012
2,1,0.05466700000000002,1,0.5406659999999999,1,0.40733299999999995,0,-0.4626659999999998,1,0.2733329999999998,0,-0.4720659999999999,1,0.013400000000000079
3,0,-0.20133400000000012,1,0.15533400000000008,0,-0.182666,1,0.09999999999999987,1,0.2693320000000001,0,-0.20666699999999993,1,0.16200099999999984
4,0,-0.11333199999999999,1,0.2779990000000001,0,-0.2746670000000002,1,0.248,0,-0.02933399999999997,0,-0.034665999999999864,0,-0.30199900000000013
5,0,-0.0506660000000001,1,0.233333,0,-0.18133299999999997,1,0.28133300000000006,1,0.055333999999999994,1,0.25,1,0.05066499999999996
6,0,-0.16533200000000026,1,0.22799900000000006,0,-0.4579989999999998,1,0.01666600000000007,0,-0.3640000000000001,1,0.2540009999999999,1,0.4679990000000003
7,1,0.017999999999999794,1,0.26199899999999987,0,-0.3699979999999998,1,0.098665,0,-0.42533299999999996,1,0.27533399999999975,0,-0.1646669999999999
8,1,0.323334,0,-0.15133399999999986,1,0.29666799999999993,0,-0.657333,1,0.33799899999999994,0,-0.25333300000000003,1,0.20133299999999998
9,0,-0.12533199999999978,0,-0.20000000000000018,1,0.14266699999999988,0,-0.16133299999999995,1,0.27466599999999985,1,0.20800000000000018,0,-0.06199999999999983
10,1,0.4173330000000002,0,-0.33999900000000016,1,0.31466700000000003,0,-0.26800099999999993,1,0.18733299999999975,1,0.40266599999999997,0,-0.13799899999999976
11,1,0.8130989999999998,1,2.134231,0,-0.03733200000000014,1,1.5395979999999998,0,-1.1829330000000002,1,2.487331,0,-0.6813329999999995
12,1,0.7866669999999996,1,1.2833319999999997,0,-0.9206659999999989,1,1.8226639999999996,0,-0.05279900000000026,1,1.8101310000000002,0,-2.0339980000000004
13,1,0.8226659999999999,0,-2.4691980000000004,0,-1.2847989999999996,1,2.1306650000000005,0,-0.8746659999999995,1,2.489331,1,0.6566659999999995
14,0,-0.1946670000000008,1,3.623997000000001,1,0.4559989999999985,0,-3.1679959999999987,1,1.5313309999999998,0,-2.425331,1,0.0926670000000005
15,1,0.27133300000000027,1,1.876665000000001,1,0.5593329999999987,0,-1.3993319999999994,1,0.28200000000000003,1,2.4013310000000008,1,0.30266599999999855
16,1,0.6333330000000004,0,-2.5973310000000005,1,1.2693320000000021,0,-2.3126640000000016,0,-0.1946670000000008,1,2.4019980000000007,0,-2.8893310000000003
17,0,-1.271999000000001,1,2.0006649999999997,0,-2.3966639999999995,1,1.941331,0,-1.2073319999999992,1,0.9486659999999993,0,-1.2686659999999996
18,0,-0.8026660000000003,1,1.4999990000000007,0,-0.3213329999999992,1,1.7519979999999986,1,1.1526660000000017,1,0.10266599999999926,1,1.1919989999999991
19,1,0.065334,0,-2.183997999999999,1,1.5566650000000024,0,-2.7899970000000014,1,1.973998,1,0.9759989999999981,0,-2.426663999999999
20,0,-0.917332,1,1.6953309999999995,0,-1.6779980000000005,1,1.9999980000000015,0,-1.3446650000000009,1,1.5326650000000015,0,-2.753998000000001
21,0,-0.20199999999999996,0,-3.55133,1,6.309994,0,-1.0493319999999997,1,0.47933300000000045,1,2.376663999999998,0,-1.6439979999999998
22,0,-2.0179979999999986,0,-0.4580000000000002,1,2.0573320000000006,0,-1.0606660000000012,0,-1.763997999999999,1,2.108663999999999,1,0.28666700000000134
23,0,-0.053999999999998494,0,-2.0246640000000014,1,0.4153330000000004,1,0.8666649999999994,0,-1.1393319999999996,1,0.4933329999999998,0,-1.3386649999999989
24,1,0.49733300000000114,0,-0.9766659999999998,1,4.875995,0,-0.21866599999999892,1,1.9513309999999997,0,-0.2140000000000022,0,-1.8246649999999995
25,1,0.2866660000000003,1,3.8406629999999993,1,0.6959990000000005,0,-1.824664000000002,1,1.956664,0,-1.3966649999999987,1,3.5639970000000005
26,1,1.629331999999998,0,-4.974661999999999,1,2.334664,0,-1.618665,1,3.0433309999999985,0,-1.8239990000000006,1,2.482665000000001
27,0,-2.287331000000002,1,1.336666000000001,0,-1.8746650000000002,0,-2.151330999999999,1,0.29599899999999835,1,2.649998,0,-1.8726649999999978
28,1,2.8639970000000012,0,-2.9259970000000024,1,3.133330000000001,0,-3.549330000000001,0,-3.4466629999999974,1,3.5493299999999977,0,-0.3193330000000003
29,0,-1.0153329999999983,1,0.8186659999999968,1,5.313328000000002,0,-2.479997000000001,1,1.086665,0,-2.6046639999999996,1,0.18133299999999863
30,0,-0.15733299999999772,1,5.2486609999999985,0,-7.755324999999999,1,3.1639969999999984,0,-4.0093299999999985,1,0.6926659999999991,1,4.926662
31,0,-0.2713329999999985,1,3.39733,0,-5.426660999999999,1,3.457996999999999,1,0.0033330000000013627,0,-3.98133,1,1.683332
32,1,0.5379989999999992,0,-2.889330000000001,0,-1.0746660000000006,1,2.092665,0,-3.777996999999999,1,1.346665999999999,0,-4.173995999999999
33,0,-1.1013330000000003,1,2.5419979999999995,1,0.8639989999999997,1,2.3213310000000007,0,-2.4039979999999996,0,-1.1613320000000016,1,0.9473330000000004
34,1,1.472665000000001,1,0.5053329999999967,1,4.896661000000002,0,-0.9879989999999985,1,3.0806639999999987,0,-2.0399980000000006,1,1.327999000000002
35,1,14.279985999999997,1,21.343978,0,-10.157322999999998,1,12.181320999999997,0,-18.879313999999994,0,-18.200649000000002,1,4.871328999999999
36,0,-3.368662999999998,1,17.027983,1,5.923994,1,0.47066600000000136,1,14.615984999999995,0,-4.353994999999998,1,10.659322000000003
37,1,28.955971000000005,0,-17.90731600000001,1,74.48059300000001,0,-56.03661100000001,1,39.849959999999996,0,-23.133309999999994,1,17.879981999999984
38,0,-11.403322000000003,1,77.88992199999998,1,8.076659000000006,1,29.996635999999995,1,41.346625999999986,0,-22.943310999999994,1,11.266656000000012
39,1,5.593327999999985,0,-100.13989999999998,1,36.85996299999999,1,11.453321999999986,0,-32.216634,1,50.343283000000014,0,-25.806641000000013
40,0,-36.71329699999998,1,22.463310999999976,0,-19.336647,1,8.839990999999998,1,29.786637000000013,0,-15.113317999999992,1,21.47997799999999
41,1,23.22997699999999,1,39.24662699999999,1,99.63656700000001,1,7.106659999999977,0,-22.32331099999999,0,-46.479952999999966,1,24.293308999999965
42,0,-79.03992099999999,1,64.66660200000001,0,-12.386653999999965,1,47.66661899999997,0,-123.55987699999997,0,-21.686645000000027,1,38.61662800000002
43,0,-24.306643000000008,1,126.35987399999999,0,-89.67657700000001,1,25.399974000000043,0,-108.15322500000002,1,43.823289999999986,0,-20.979978999999986
44,1,29.969970000000018,0,-21.233312000000012,1,16.073317000000003,1,68.08659899999998,0,-38.423024999999996,1,34.210000000000036,0,-3.6200000000000045
45,0,-83.59999999999997,1,22.829999999999984,0,-50.22999999999999,0,-9.719999999999999,1,26.99000000000001,0,-85.76000000000002,1,14.080000000000013
46,1,19.070000000000007,1,17.260000000000005,1,33.47,1,36.34,0,-41.32000000000002,1,34.54000000000002,0,-21.560000000000002
